customer_id,full_name,age,gender,registration_date,preferred_channel
4c30e132-0704-4459-a509-9eddde934977,Mark Johnson,40,Male,2024-04-25,
68bec407-275f-4b5b-9a82-13d02f54626a,Robert Smith,33,Male,2021-05-30,in-store
4466459f-76c8-433c-814e-6d59cb4131fc,Jamie Chavez,42,Female,2023-12-14,online
04c36a25-02f3-462c-92b0-6bf291c57706,Thomas Bradley,53,Male,2022-07-11,both
e916df3d-c3f5-40b0-8ae2-5d043be88300,Jane Ferrell,32,Female,2020-09-06,online
0709fd3c-d251-486e-8864-4b18dcd01e57,Jacqueline Martin,32,Female,2022-12-28,in-store
d7c50fae-43b8-4945-86f8-b8f9d4d2d71a,Jennifer Powers,53,Female,2021-04-10,in-store
d61d8f7b-c2d0-4548-9f3b-da16dc3146ad,David Kennedy,44,Male,2022-09-04,in-store
fd54988d-3cca-4a02-9254-b4fa7a2d5451,Anthony Kidd,29,Male,2024-05-31,online
a960dd54-ee35-4731-b29e-d8de6c5793dc,Jonathan Farrell,41,Male,2022-01-24,in-store
e5249c67-3787-4ee6-ac59-f8d74639244b,James Powers,29,Male,2021-05-13,online
dd0f406f-fb31-4d7c-b3ed-c59f45bf8f96,Tara Garcia,29,Female,2020-09-04,online
359110d0-d634-4b39-8fef-36111b3742d2,Ashley Landry,37,Female,2022-03-04,online
35dfe82b-dd9b-4841-821d-c6ca82c646eb,Christopher Middleton,18,Male,2021-08-22,both
dc46a263-7457-4572-a9d8-5eaaa2284b96,Beverly Terrell,18,Non-binary,2023-03-02,in-store
426c4dcd-d40d-4e1f-ac0b-e11708b7f8c3,Melissa Spencer,28,Female,2020-08-07,online
22c4c8b5-9c60-4e20-9968-a886e2868da0,Drew Beck,22,Male,2025-02-14,online
32a6feeb-ac77-4fde-8a21-70869c6815e2,Kristin Lowery,38,Female,2021-03-27,in-store
e9bd1176-329a-4737-9444-bfe8e8bd1dee,Chris Reyes,24,Male,2023-11-13,both
abda27bb-772c-4ed5-ba4e-a9bb0c376fc6,Alyssa Rogers,18,Female,2020-08-09,online
c41b5601-4c95-46d5-abab-e7043248fb1d,Courtney Jones,52,Female,2022-04-16,online
65ef3d0c-894e-447d-b59f-025307cabe1b,Jennifer Espinoza,32,Female,2023-09-21,both
de4b2497-46bb-4130-9cd6-f571e9f2fb65,Jeffrey Gross,35,Male,2022-03-27,online
c9b0a5a5-5ffa-4f34-abce-cbe51ff24bd6,Kristi Black,18,Female,2023-12-01,online
8ea18761-b9b3-47b5-b907-942665ba2b41,Barbara Lee,28,Female,2023-07-29,online
